created_at,entry_id,field1,field2,field3,field4,field5
2024-10-10 03:26:21 UTC,22,247.00,50.00,0.00,,
2024-10-10 03:26:37 UTC,23,239.00,49.00,0.00,,
2024-10-10 04:13:16 UTC,24,130.00,0.00,0.00,,
2024-10-10 04:13:32 UTC,25,342.00,192.00,0.00,,
2024-10-10 04:13:48 UTC,26,339.00,126.00,0.00,,
2024-10-10 04:14:24 UTC,27,304.00,29.00,0.00,0.00,0.00
2024-10-10 04:14:40 UTC,28,320.00,25.00,0.00,0.00,0.00
2024-10-10 04:14:56 UTC,29,303.00,18.00,0.00,0.00,0.00
2024-10-10 04:15:12 UTC,30,298.00,19.00,0.00,0.00,0.00
2024-10-10 04:15:27 UTC,31,283.00,11.00,0.00,0.00,0.00
2024-10-10 04:15:52 UTC,32,268.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:07 UTC,33,270.00,13.00,0.00,0.00,0.00
2024-10-10 04:16:23 UTC,34,241.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:39 UTC,35,241.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:54 UTC,36,237.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:10 UTC,37,237.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:26 UTC,38,226.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:44 UTC,39,211.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:00 UTC,40,209.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:15 UTC,41,209.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:31 UTC,42,218.00,0.00,0.00,0.00,0.00
2024-10-10 04:29:52 UTC,43,22.00,0.00,0.00,3.00,4.00
2024-10-10 04:30:08 UTC,44,235.00,46.00,0.00,5.00,6.00
2024-10-10 04:30:23 UTC,45,247.00,51.00,0.00,5.00,6.00
2024-10-10 04:30:39 UTC,46,241.00,18.00,0.00,5.00,6.00
2024-10-10 04:30:55 UTC,47,241.00,23.00,0.00,5.00,6.00
2024-10-10 04:31:11 UTC,48,236.00,13.00,0.00,5.00,10.00
2024-10-10 04:31:26 UTC,49,224.00,15.00,0.00,5.00,10.00
2024-10-10 04:31:42 UTC,50,210.00,0.00,0.00,6.00,4932.00
2024-10-10 04:31:58 UTC,51,201.00,0.00,0.00,0.00,0.00
2024-10-10 04:32:14 UTC,52,205.00,1.00,0.00,0.00,0.00
2024-10-10 04:32:29 UTC,53,194.00,0.00,0.00,0.00,0.00
2024-10-10 04:32:45 UTC,54,190.00,0.00,0.00,0.00,0.00
2024-10-10 04:33:15 UTC,55,152.00,0.00,0.00,7.00,14.00
2024-10-10 04:33:31 UTC,56,176.00,0.00,0.00,7.00,15.00
2024-10-10 05:57:47 UTC,57,112.00,0.00,0.00,4.00,9.00
2024-10-10 05:58:02 UTC,58,389.00,203.00,0.00,4.00,9.00
2024-10-10 05:58:18 UTC,59,418.00,128.00,0.00,4.00,8.00
2024-10-10 05:58:34 UTC,60,407.00,64.00,0.00,5.00,12.00
2024-10-10 05:58:49 UTC,61,384.00,34.00,0.00,4.00,13.00
